title,year,venue,cited,doi,pdf
A Multifunctional Electrolyte Additive With Solvation Structure Regulation and Electrode/Electrolyte Interface Manipulation Enabling High‐Performance Li‐Ion Bat,2023,Advanced Energy Materials,120,10.1002/aenm.202203449,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202203449
The Origin of Strain Effects on Sulfur Redox Electrocatalyst for Lithium Sulfur Batteries,2023,Advanced Energy Materials,120,10.1002/aenm.202302586,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202302586
Rechargeable Aqueous Zinc-Ion Batteries in MgSO4/ZnSO4 Hybrid Electrolytes,2020,Nano-Micro Letters,119,10.1007/s40820-020-0385-7,https://link.springer.com/content/pdf/10.1007/s40820-020-0385-7.pdf
Multifunctional electrolyte additive for improved interfacial stability in Ni-rich layered oxide full-cells,2020,Energy storage materials,119,10.1016/j.ensm.2020.08.026,https://www.sciencedirect.com/science/article/pii/S2405829720303287/pdf
"A Three in One Strategy to Achieve Zirconium Doping, Boron Doping, and Interfacial Coating for Stable LiNi0.8Co0.1Mn0.1O2 Cathode",2020,Advanced Science,119,10.1002/advs.202001809,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202001809
Dual-engineering of ammonium vanadate for enhanced aqueous and quasi-solid-state zinc ion batteries,2022,Energy storage materials,119,10.1016/j.ensm.2022.08.036,
Defect Engineering of Disordered Carbon Anodes with Ultra-High Heteroatom Doping Through a Supermolecule-Mediated Strategy for Potassium-Ion Hybrid Capacitors,2023,Nano-Micro Letters,119,10.1007/s40820-022-01006-0,https://link.springer.com/content/pdf/10.1007/s40820-022-01006-0.pdf
Facile synthesis of sulfur@titanium carbide Mxene as high performance cathode for lithium‐sulfur batteries,2020,Nanophotonics,118,10.1515/nanoph-2019-0568,https://www.degruyter.com/document/doi/10.1515/nanoph-2019-0568/pdf
Synergetic regulation of SEI mechanics and crystallographic orientation for stable lithium metal pouch cells,2024,Nature Communications,118,10.1038/s41467-024-48889-8,
Mullite Mineral‐Derived Robust Solid Electrolyte Enables Polyiodide Shuttle‐Free Zinc‐Iodine Batteries,2024,Advanced Materials,118,10.1002/adma.202408213,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202408213
Controlling Surface Phase Transition and Chemical Reactivity of O3-Layered Metal Oxide Cathodes for High-Performance Na-Ion Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),117,10.1021/acsenergylett.0c00700,https://www.osti.gov/servlets/purl/1644016
Sandwiched Cathodes Assembled from CoS2‐Modified Carbon Clothes for High‐Performance Lithium‐Sulfur Batteries,2021,Advanced Science,117,10.1002/advs.202101019,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202101019
Topologically protected oxygen redox in a layered manganese oxide cathode for sustainable batteries,2021,HAL (Le Centre pour la Communication Scientifique Directe),117,10.1038/s41893-021-00809-0,https://hal.science/hal-03659118/document
A Silicon Monoxide Lithium-Ion Battery Anode with Ultrahigh Areal Capacity,2022,Nano-Micro Letters,117,10.1007/s40820-022-00790-z,https://link.springer.com/content/pdf/10.1007/s40820-022-00790-z.pdf
Stable Ni-rich layered oxide cathode for sulfide-based all-solid-state lithium battery,2022,eScience,117,10.1016/j.esci.2022.06.001,https://www.sciencedirect.com/science/article/pii/S2667141722000738/pdf
Naked metallic skin for homo-epitaxial deposition in lithium metal batteries,2023,Nature Communications,117,10.1038/s41467-023-36934-x,https://www.nature.com/articles/s41467-023-36934-x.pdf
Weakly Polarized Organic Cation-Modified Hydrated Vanadium Oxides for High-Energy Efficiency Aqueous Zinc-Ion Batteries,2024,Nano-Micro Letters,117,10.1007/s40820-024-01339-y,https://link.springer.com/content/pdf/10.1007/s40820-024-01339-y.pdf
Ultrahigh Plateau‐Capacity Sodium Storage by Plugging Open Pores,2024,Advanced Materials,117,10.1002/adma.202410326,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202410326
Self-Recovery Chemistry and Cobalt-Catalyzed Electrochemical Deposition of Cathode for Boosting Performance of Aqueous Zinc-Ion Batteries,2020,iScience,116,10.1016/j.isci.2020.100943,http://www.cell.com/article/S2589004220301279/pdf
Stabilized Co‐Free Li‐Rich Oxide Cathode Particles with An Artificial Surface Prereconstruction,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),116,10.1002/aenm.202001120,https://www.osti.gov/servlets/purl/1658557
Low‐strain TiP2O7 with three‐dimensional ion channels as long‐life and high‐rate anode material for Mg‐ion batteries,2022,Interdisciplinary materials,116,10.1002/idm2.12004,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12004
Vanadium‐modified hard carbon spheres with sufficient pseudographitic domains as high‐performance anode for sodium‐ion batteries,2022,Carbon Energy,116,10.1002/cey2.191,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.191
Supramolecular Engineering of Cathode Materials for Aqueous Zinc‐ion Energy Storage Devices: Novel Benzothiadiazole Functionalized Two‐Dimensional Olefin‐Linked,2023,Angewandte Chemie International Edition,116,10.1002/anie.202216136,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202216136
An ultrathin and crack‐free metal‐organic framework film for effective polysulfide inhibition in lithium–sulfur batteries,2024,Interdisciplinary materials,116,10.1002/idm2.12143,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12143
Bidentate Coordination Structure Facilitates High‐Voltage and High‐Utilization Aqueous Zn−I 2 Batteries,2024,Angewandte Chemie International Edition,116,10.1002/anie.202404784,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202404784
Recycling spent carbon cathode by a roasting method and its application in Li-ion batteries anodes,2020,Journal of Cleaner Production,115,10.1016/j.jclepro.2020.121090,
Recent advances in Ni-rich layered oxide particle materials for lithium-ion batteries,2020,Particuology,115,10.1016/j.partic.2020.09.004,https://www.sciencedirect.com/science/article/pii/S1674200120300912/pdf
Stabilizing Anionic Redox Chemistry in a Mn‐Based Layered Oxide Cathode Constructed by Li‐Deficient Pristine State,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),115,10.1002/adma.202004280,
Graphene collage on Ni-rich layered oxide cathodes for advanced lithium-ion batteries,2021,Nature Communications,115,10.1038/s41467-021-22403-w,https://www.nature.com/articles/s41467-021-22403-w.pdf
Smoothing the Sodium‐Metal Anode with a Self‐Regulating Alloy Interface for High‐Energy and Sustainable Sodium‐Metal Batteries,2021,PolyU Institutional Research Archive (Hong Kong Polytechnic University),115,10.1002/adma.202102802,http://ira.lib.polyu.edu.hk/bitstream/10397/99229/1/Wang_Smoothing_Sodium_Metal.pdf
"Nitrogen, Oxygen‐Codoped Vertical Graphene Arrays Coated 3D Flexible Carbon Nanofibers with High Silicon Content as an Ultrastable Anode for Superior Lithium St",2022,Advanced Science,115,10.1002/advs.202104685,
Engineering Functionalized 2D Metal‐Organic Frameworks Nanosheets with Fast Li+ Conduction for Advanced Solid Li Batteries,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),115,10.1002/adma.202303193,https://www.osti.gov/servlets/purl/2371816
A Nickel‐Decorated Carbon Flower/Sulfur Cathode for Lean‐Electrolyte Lithium–Sulfur Batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),114,10.1002/aenm.202101449,https://www.osti.gov/servlets/purl/1819286
Ionically Conductive Tunnels in h‐WO3 Enable High‐Rate NH4+ Storage,2022,Advanced Science,114,10.1002/advs.202105158,
Boosting Reversibility and Stability of Zn Anodes via Manipulation of Electrolyte Structure and Interface with Addition of Trace Organic Molecules,2022,Advanced Energy Materials,114,10.1002/aenm.202202419,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202202419
Construction of Ultrathin Layered MXene-TiN Heterostructure Enabling Favorable Catalytic Ability for High-Areal-Capacity Lithium–Sulfur Batteries,2022,Nano-Micro Letters,114,10.1007/s40820-022-00935-0,https://link.springer.com/content/pdf/10.1007/s40820-022-00935-0.pdf
Phase-engineered cathode for super-stable potassium storage,2023,Nature Communications,114,10.1038/s41467-023-36385-4,https://www.nature.com/articles/s41467-023-36385-4.pdf
Stabilized O3‐Type Layered Sodium Oxides with Enhanced Rate Performance and Cycling Stability by Dual‐Site Ti4+/K+ Substitution,2023,Advanced Science,114,10.1002/advs.202304067,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202304067
Entropy Tuning Stabilizing P2‐Type Layered Cathodes for Sodium‐Ion Batteries,2024,Advanced Functional Materials,114,10.1002/adfm.202315437,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202315437
Co-based and Cu-based MOFs modified separators to strengthen the kinetics of redox reaction and inhibit lithium-dendrite for long-life lithium-sulfur batteries,2020,Figshare,113,10.1016/j.cej.2020.124241,
In-situ pillared MXene as a viable zinc-ion hybrid capacitor,2020,Lancaster EPrints (Lancaster University),113,10.1016/j.electacta.2020.136061,https://eprints.lancs.ac.uk/id/eprint/142700/1/Author_s_Accepted_Copy.pdf
Symmetric Sodium-Ion Battery Based on Dual-Electron Reactions of NASICON-Structured Na 3 MnTi(PO 4 ) 3 Material,2020,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),113,10.1021/acsami.0c05784,
Systematic Study of Al Impurity for NCM622 Cathode Materials,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),113,10.1021/acssuschemeng.0c02965,
Supramolecular Self‐Assembled Multi‐Electron‐Acceptor Organic Molecule as High‐Performance Cathode Material for Li‐Ion Batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),113,10.1002/aenm.202100330,
Inorganic-organic competitive coating strategy derived uniform hollow gradient-structured ferroferric oxide-carbon nanospheres for ultra-fast and long-term lith,2021,Nature Communications,113,10.1038/s41467-021-23150-8,https://www.nature.com/articles/s41467-021-23150-8.pdf
"Engineering the Structural Uniformity of Gel Polymer Electrolytes via Pattern‐Guided Alignment for Durable, Safe Solid‐State Lithium Metal Batteries",2023,Advanced Materials,113,10.1002/adma.202303460,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202303460
Enhancing the electrochemical performance of semicoke‐based hard carbon anode through oxidation‐crosslinking strategy for low‐cost sodium‐ion batteries,2024,Carbon Energy,113,10.1002/cey2.584,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.584
Superionic conducting vacancy-rich β-Li3N electrolyte for stable cycling of all-solid-state lithium metal batteries,2024,Nature Nanotechnology,113,10.1038/s41565-024-01813-z,https://www.nature.com/articles/s41565-024-01813-z.pdf
Overcoming the conversion reaction limitation at three-phase interfaces using mixed conductors towards energy-dense solid-state Li–S batteries,2025,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),113,10.1038/s41563-024-02057-x,
"Lithium Iron Aluminum Nickelate, LiNixFeyAlzO2—New Sustainable Cathodes for Next‐Generation Cobalt‐Free Li‐Ion Batteries",2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),112,10.1002/adma.202002960,
Dual-Functional Lithiophilic/Sulfiphilic Binary-Metal Selenide Quantum Dots Toward High-Performance Li–S Full Batteries,2023,Nano-Micro Letters,112,10.1007/s40820-023-01037-1,https://link.springer.com/content/pdf/10.1007/s40820-023-01037-1.pdf
Design of multifunctional polymeric binders in silicon anodes for lithium‐ion batteries,2023,Carbon Energy,112,10.1002/cey2.356,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.356
Macroporous Directed and Interconnected Carbon Architectures Endow Amorphous Silicon Nanodots as Low-Strain and Fast-Charging Anode for Lithium-Ion Batteries,2024,Nano-Micro Letters,112,10.1007/s40820-023-01308-x,https://link.springer.com/content/pdf/10.1007/s40820-023-01308-x.pdf
A solid-state lithium-ion battery with micron-sized silicon anode operating free from external pressure,2024,Nature Communications,112,10.1038/s41467-024-46472-9,https://www.nature.com/articles/s41467-024-46472-9.pdf
Nitrogen and Sulfur Vacancies in Carbon Shell to Tune Charge Distribution of Co6Ni3S8 Core and Boost Sodium Storage,2020,"Griffith Research Online (Griffith University, Queensland, Australia)",111,10.1002/aenm.201904147,
Investigation on the Electrochemical Performances of Mn2O3 as a Potential Anode for Na-Ion Batteries,2020,Scientific Reports,111,10.1038/s41598-020-66148-w,https://www.nature.com/articles/s41598-020-66148-w.pdf
Tunable Electrocatalytic Behavior of Sodiated MoS 2 Active Sites toward Efficient Sulfur Redox Reactions in Room‐Temperature Na–S Batteries,2021,Advanced Materials,111,10.1002/adma.202100229,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202100229
Gradient Electrolyte Strategy Achieving Long‐Life Zinc Anodes,2023,Advanced Materials,111,10.1002/adma.202300620,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300620
Oxygen Defect‐Rich WO 3− x –W 3 N 4 Mott–Schottky Heterojunctions Enabling Bidirectional Catalysis for Sulfur Cathode,2023,Advanced Functional Materials,111,10.1002/adfm.202306578,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202306578
Durian-Inspired Design of Bismuth–Antimony Alloy Arrays for Robust Sodium Storage,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),110,10.1021/acsnano.0c04366,https://www.osti.gov/servlets/purl/1756843
Beyond the Polysulfide Shuttle and Lithium Dendrite Formation: Addressing the Sluggish Sulfur Redox Kinetics for Practical High‐Energy Li‐S Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),110,10.1002/anie.202007159,https://www.osti.gov/servlets/purl/1710199
A High-Performance Magnesium Triflate-based Electrolyte for Rechargeable Magnesium Batteries,2020,Cell Reports Physical Science,110,10.1016/j.xcrp.2020.100265,https://www.sciencedirect.com/science/article/pii/S2666386420302873/pdf
Advances and Prospects of High‐Voltage Spinel Cathodes for Lithium‐Based Batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),110,10.1002/smtd.202001196,
Dense‐Stacking Porous Conjugated Polymer as Reactive‐Type Host for High‐Performance Lithium Sulfur Batteries,2021,eScholarship (California Digital Library),110,10.1002/anie.202016240,https://escholarship.org/content/qt3h86f8d8/qt3h86f8d8.pdf
Regulating the redox reversibility of zinc anode toward stable aqueous zinc batteries,2022,King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology),110,10.1016/j.nanoen.2022.107331,
Development of high-energy non-aqueous lithium-sulfur batteries via redox-active interlayer strategy,2022,Nature Communications,110,10.1038/s41467-022-31943-8,https://www.nature.com/articles/s41467-022-31943-8.pdf
Super‐Reversible CuF2 Cathodes Enabled by Cu2+‐Coordinated Alginate,2022,Journal of Media Literacy Education,110,10.1002/adma.202205229,
Constructing Efficient Mg(CF3SO3)2 Electrolyte via Tailoring Solvation and Interface Chemistry for High‐Performance Rechargeable Magnesium Batteries,2023,Advanced Energy Materials,110,10.1002/aenm.202301795,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202301795
Revealing and reconstructing the 3D Li-ion transportation network for superionic poly(ethylene) oxide conductor,2024,Nature Communications,110,10.1038/s41467-024-51191-2,
Understanding fundamental effects of Cu impurity in different forms for recovered LiNi0.6Co0.2Mn0.2O2 cathode materials,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),109,10.1016/j.nanoen.2020.105214,https://www.osti.gov/servlets/purl/1768586
Advanced cathode for dual-ion batteries: Waste-to-wealth reuse of spent graphite from lithium-ion batteries,2021,eScience,109,10.1016/j.esci.2021.11.001,https://www.sciencedirect.com/science/article/pii/S2667141721000227/pdf
Integrating Energy Band Alignment and Oxygen Vacancies Engineering of TiO 2 Anatase/Rutile Homojunction for Kinetics‐Enhanced Li–S Batteries,2023,Advanced Functional Materials,109,10.1002/adfm.202305788,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202305788
Nonmetallic Se/N Co‐Doped Amorphous Carbon Anode Collaborates to Realize Ultra‐High Capacity and Fast Potassium Storage for Potassium Dual‐Ion Batteries,2024,Advanced Functional Materials,109,10.1002/adfm.202314890,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202314890
Lignin Derived Ultrathin All‐Solid Polymer Electrolytes with 3D Single‐Ion Nanofiber Ionic Bridge Framework for High Performance Lithium Batteries,2024,Advanced Materials,109,10.1002/adma.202400970,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400970
High Capacity Adsorption—Dominated Potassium and Sodium Ion Storage in Activated Crumpled Graphene,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),108,10.1002/aenm.201903280,https://www.osti.gov/servlets/purl/1649273
Facile Synthesis of FePS3 Nanosheets@MXene Composite as a High-Performance Anode Material for Sodium Storage,2020,Nano-Micro Letters,108,10.1007/s40820-020-0381-y,https://link.springer.com/content/pdf/10.1007/s40820-020-0381-y.pdf
Metal chloride perovskite thin film based interfacial layer for shielding lithium metal from liquid electrolyte,2020,Nature Communications,108,10.1038/s41467-020-15643-9,https://www.nature.com/articles/s41467-020-15643-9.pdf
Moisture-Driven Degradation Pathways in Prussian White Cathode Material for Sodium-Ion Batteries,2021,ACS Applied Materials & Interfaces,108,10.1021/acsami.0c22032,
Highly N‐doped carbon with low graphitic‐N content as anode material for enhanced initial Coulombic efficiency of lithium‐ion batteries,2022,Carbon Energy,108,10.1002/cey2.257,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.257
Machine learning-guided discovery of ionic polymer electrolytes for lithium metal batteries,2023,Nature Communications,108,10.1038/s41467-023-38493-7,https://www.nature.com/articles/s41467-023-38493-7.pdf
Layered Potassium Titanium Niobate/Reduced Graphene Oxide Nanocomposite as a Potassium-Ion Battery Anode,2023,Nano-Micro Letters,108,10.1007/s40820-023-01222-2,https://link.springer.com/content/pdf/10.1007/s40820-023-01222-2.pdf
Scalable synthesis of nanoporous silicon microparticles for highly cyclable lithium-ion batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),107,10.1007/s12274-020-2770-4,
Excellent Cycling Stability of Sodium Anode Enabled by a Stable Solid Electrolyte Interphase Formed in Ether‐Based Electrolytes,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),107,10.1002/adfm.202001151,
A conductive self healing polymeric binder using hydrogen bonding for Si anodes in lithium ion batteries,2020,Scientific Reports,107,10.1038/s41598-020-71625-3,https://www.nature.com/articles/s41598-020-71625-3.pdf
Artificial SEI for Superhigh‐Performance K‐Graphite Anode,2021,Advanced Science,107,10.1002/advs.202003639,
Multifunctional cation-vacancy-rich ZnCo2O4 polysulfide-blocking layer for ultrahigh-loading Li-S battery,2021,,107,10.1016/j.nanoen.2021.106331,
Porous Microspheres Comprising CoSe2 Nanorods Coated with N-Doped Graphitic C and Polydopamine-Derived C as Anodes for Long-Lived Na-Ion Batteries,2022,Nano-Micro Letters,107,10.1007/s40820-022-00855-z,https://link.springer.com/content/pdf/10.1007/s40820-022-00855-z.pdf
Two Birds One Stone: Graphene Assisted Reaction Kinetics and Ionic Conductivity in Phthalocyanine‐Based Covalent Organic Framework Anodes for Lithium‐ion Batter,2023,Small,107,10.1002/smll.202303353,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202303353
Unveiling the X‐Ray Absorption Chemistry of H3.78V6O13 Cathode for Aqueous Zinc‐Ion Batteries,2023,Advanced Functional Materials,107,10.1002/adfm.202307270,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202307270
Precisely designing asymmetrical selenium-based dual-atom sites for efficient oxygen reduction,2025,Nature Communications,107,10.1038/s41467-025-55862-6,https://www.nature.com/articles/s41467-025-55862-6.pdf
Electrode Design with Integration of High Tortuosity and Sulfur-Philicity for High-Performance Lithium-Sulfur Battery,2020,Matter,106,10.1016/j.matt.2020.04.011,http://www.cell.com/article/S259023852030182X/pdf
Charging activation and desulfurization of MnS unlock the active sites and electrochemical reactivity for Zn-ion batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),106,10.1016/j.nanoen.2020.104869,
Al and Fe-containing Mn-based layered cathode with controlled vacancies for high-rate sodium ion batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),106,10.1016/j.nanoen.2020.104997,
"A Carbon Foam with Sodiophilic Surface for Highly Reversible, Ultra‐Long Cycle Sodium Metal Anode",2020,Advanced Science,106,10.1002/advs.202003178,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202003178
Amorphous anion-rich titanium polysulfides for aluminum-ion batteries,2021,Science Advances,106,10.1126/sciadv.abg6314,
Natural Stibnite for Lithium-/Sodium-Ion Batteries: Carbon Dots Evoked High Initial Coulombic Efficiency,2022,Nano-Micro Letters,106,10.1007/s40820-022-00873-x,https://link.springer.com/content/pdf/10.1007/s40820-022-00873-x.pdf
A high-capacity Sn metal anode for aqueous acidic batteries,2023,Joule,106,10.1016/j.joule.2023.04.011,http://www.cell.com/article/S2542435123001708/pdf
Lightweight Zn‐Philic 3D‐Cu Scaffold for Customizable Zinc Ion Batteries,2024,Advanced Functional Materials,106,10.1002/adfm.202312664,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202312664
Quantification of the Li-ion diffusion over an interface coating in all-solid-state batteries via NMR measurements,2021,Nature Communications,105,10.1038/s41467-021-26190-2,https://www.nature.com/articles/s41467-021-26190-2.pdf
Covalent Organic Framework as an Efficient Protection Layer for a Stable Lithium‐Metal Anode,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),105,10.1002/anie.202116586,https://www.osti.gov/servlets/purl/1976277
Replacing “Alkyl” with “Aryl” for inducing accessible channels to closed pores as plateau‐dominated sodium‐ion battery anode,2022,SusMat,105,10.1002/sus2.68,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sus2.68
"N -Heterocycles Extended π-Conjugation Enables Ultrahigh Capacity, Long-Lived, and Fast-Charging Organic Cathodes for Aqueous Zinc Batteries",2022,CCS Chemistry,105,10.31635/ccschem.022.202202276,
Achieving stable all-solid-state lithium-metal batteries by tuning the cathode-electrolyte interface and ionic/electronic transport within the cathode,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),105,10.1016/j.mattod.2023.03.001,https://www.osti.gov/servlets/purl/2419696
An electron-blocking interface for garnet-based quasi-solid-state lithium-metal batteries to improve lifespan,2024,Nature Communications,105,10.1038/s41467-024-49715-x,
Delocalized electronic engineering of TiNb2O7 enables low temperature capability for high-areal-capacity lithium-ion batteries,2024,Nature Communications,105,10.1038/s41467-024-50455-1,https://www.nature.com/articles/s41467-024-50455-1.pdf
High loading CuS-based cathodes for all-solid-state lithium sulfur batteries with enhanced volumetric capacity,2020,Energy storage materials,104,10.1016/j.ensm.2020.01.022,https://www.sciencedirect.com/science/article/pii/S2405829720300295/pdf
Electrode Engineering of Redox-Active Conjugated Microporous Polymers for Ultra-High Areal Capacity Organic Batteries,2020,ACS Energy Letters,104,10.1021/acsenergylett.0c01577,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.0c01577
Characteristics and electrochemical performances of silicon/carbon nanofiber/graphene composite films as anode materials for binder-free lithium-ion batteries,2021,Scientific Reports,104,10.1038/s41598-020-79205-1,https://www.nature.com/articles/s41598-020-79205-1.pdf
Nickel Niobate Anodes for High Rate Lithium‐Ion Batteries,2021,Advanced Energy Materials,104,10.1002/aenm.202102972,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202102972
Post-Synthetic and In Situ Vacancy Repairing of Iron Hexacyanoferrate Toward Highly Stable Cathodes for Sodium-Ion Batteries,2021,Nano-Micro Letters,104,10.1007/s40820-021-00742-z,https://link.springer.com/content/pdf/10.1007/s40820-021-00742-z.pdf
Synthesis of new two‐dimensional titanium carbonitride Ti2C0 . 5N0 .5Tx MXene and its performance as an electrode material for sodium‐ion battery,2021,InfoMat,104,10.1002/inf2.12269,
Molecular Engineering Design for High-Performance Aqueous Zinc-Organic Battery,2023,Nano-Micro Letters,104,10.1007/s40820-022-01009-x,https://link.springer.com/content/pdf/10.1007/s40820-022-01009-x.pdf
Low‐Concentration Redox‐Electrolytes for High‐Rate and Long‐Life Zinc Metal Batteries,2023,Small,104,10.1002/smll.202207664,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202207664
Co-activation for enhanced K-ion storage in battery anodes,2023,National Science Review,104,10.1093/nsr/nwad118,https://academic.oup.com/nsr/advance-article-pdf/doi/10.1093/nsr/nwad118/50099030/nwad118.pdf
High Ionic Conductivity Motivated by Multiple Ion‐Transport Channels in 2D MOF‐Based Lithium Solid State Battery,2023,Advanced Functional Materials,104,10.1002/adfm.202306060,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202306060
Tea‐Derived Sustainable Materials,2024,Advanced Functional Materials,104,10.1002/adfm.202310226,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202310226
Molecular Engineering to Regulate the Pseudo‐Graphitic Structure of Hard Carbon for Superior Sodium Energy Storage,2024,Small,104,10.1002/smll.202311778,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202311778
Superior Polyaniline Cathode Material with Enhanced Capacity for Ammonium Ion Storage,2020,ACS Applied Energy Materials,103,10.1021/acsaem.0c01791,
High‐Energy and Stable Subfreezing Aqueous Zn–MnO 2 Batteries with Selective and Pseudocapacitive Zn‐Ion Insertion in MnO 2,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),103,10.1002/adma.202201510,https://www.osti.gov/servlets/purl/1910031
Covalent organic framework containing dual redox centers as an efficient anode in Li‐ion batteries,2022,SmartMat,103,10.1002/smm2.1115,
A Polymerized‐Ionic‐Liquid‐Based Polymer Electrolyte with High Oxidative Stability for 4 and 5 V Class Solid‐State Lithium Metal Batteries,2022,Advanced Energy Materials,103,10.1002/aenm.202200412,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202200412
Electrostatic Shielding Boosts Electrochemical Performance of Alloy‐Type Anode Materials of Sodium‐Ion Batteries,2022,Angewandte Chemie International Edition,103,10.1002/anie.202214258,
Hard carbon anodes derived from phenolic resin/sucrose cross‐linking network for high‐performance sodium‐ion batteries,2022,Battery energy,103,10.1002/bte2.20220054,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bte2.20220054
Weak Solvation Effect Induced Optimal Interfacial Chemistry Enables Highly Durable Zn Anodes for Aqueous Zn‐Ion Batteries,2023,Angewandte Chemie International Edition,103,10.1002/anie.202317302,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202317302
Porous Aromatic Frameworks Enabling Polyiodide Confinement toward High Capacity and Long Lifespan Zinc–Iodine Batteries,2024,Advanced Materials,103,10.1002/adma.202401091,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202401091
Ionic Liquid‐Directed Nanoporous TiNb2O7 Anodes with Superior Performance for Fast‐Rechargeable Lithium‐Ion Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),102,10.1002/smll.202001884,https://www.osti.gov/servlets/purl/1669739
The Quest for Stable Potassium‐Ion Battery Chemistry,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),102,10.1002/adma.202106876,
Continuous Carbon Channels Enable Full Na‐Ion Accessibility for Superior Room‐Temperature Na–S Batteries,2021,Figshare,102,10.1002/adma.202108363,
Mo‐O‐C Between MoS 2 and Graphene Toward Accelerated Polysulfide Catalytic Conversion for Advanced Lithium‐Sulfur Batteries,2022,Advanced Science,102,10.1002/advs.202201579,
Tailoring Nitrogen Terminals on MXene Enables Fast Charging and Stable Cycling Na-Ion Batteries at Low Temperature,2022,Nano-Micro Letters,102,10.1007/s40820-022-00885-7,https://link.springer.com/content/pdf/10.1007/s40820-022-00885-7.pdf
